-1
Pais,Edad,Nombre,Id
Nepal,359,Jared Abbott,410
Bouvet Island,299,Miss Earnestine Parisian,411
Turks and Caicos Islands,290,Freda Cremin II,412
Lithuania,983,Fannie Schneider,413
Palestinian Territories,802,Joaquin Hoppe,414
Brunei,191,Opal Huels,415
Niger,178,Eladio Lubowitz,416
British Virgin Islands,256,Olen Reichert,417
Benin,905,Elizabeth Buckridge,418
Pacific Islands Trust Territory,158,Freeman Sauer,419
British Indian Ocean Territory,629,Jody Grant,420
São Tomé and Príncipe,406,Ruthe Padberg,421
Cuba,674,Felipe Vandervort,422
Panama,889,Norbert Borer,423
Antarctica,226,Daphney Lang,424
Sweden,423,Ezequiel Kris,425
Wake Island,106,Kendra Howell,426
Panama,336,Chet Green,427
Northern Mariana Islands,176,Carlos Hilll,428
Metropolitan France,200,Isabell Carroll,429
Costa Rica,993,Raleigh Tillman PhD,430
Vatican City,880,Leonard Fahey,431
Croatia,117,Ova Hilpert Jr.,432
Micronesia,156,Vida Stamm,433
Mongolia,50,Allen Hahn,434
Namibia,556,Gideon Parker,435
Malawi,766,Kenton Schultz,436
United Arab Emirates,381,Kattie Legros,437
Macedonia,418,Mr. Rubie Feil,438
Pitcairn Islands,179,Sophia Lockman II,439
Andorra,157,Roman Rutherford,440
Iceland,270,Adan Powlowski,441
Saint Barthélemy,565,Ms. Dexter Waters,442
Uganda,8,Oran Moore,443
Jamaica,426,Adrain Fay,444
Marshall Islands,177,Natalia Pagac,445
East Germany,147,Shawn Abshire,446
Peru,137,Sigmund Hoeger,447
Luxembourg,956,Alba Crona,448
Myanmar [Burma],870,Nannie Morissette PhD,449
Greece,156,Janis Hickle,450
Aruba,704,Tianna Stoltenberg,451
Pacific Islands Trust Territory,353,Lloyd Stoltenberg,452
Saudi Arabia,170,Hanna Kirlin,453
Eritrea,619,Luis Friesen,454
New Caledonia,29,Damion Guªann II,455
Greece,675,Emie Howe Sr.,456
United States,994,Erich Langworth,457
Estonia,16,Maud Pfeffer,458
French Southern and Antarctic Territories,896,Zachery Doyle,459
Eritrea,390,Einar West,460
Equatorial Guinea,176,Filomena Kirlin,461
Yemen,301,Bartholome Johnston,462
Netherlands Antilles,361,Miss Libbie Durgan,463
Mayotte,874,Lora Emmerich,464
Congo - Kinshasa,39,Darrion Towne,465
New Zealand,221,Audra Schmitt,466
Taiwan,911,Trudie Marks,467
Aruba,107,Elvera Abbott,468
Samoa,705,Miss Efren Legros,469
Réunion,736,Genoveva Bahringer,470
Madagascar,189,Providenci Bednar,471
Turks and Caicos Islands,30,Joesph Schmeler,472
Peru,571,Maximilian Weber,473
North Korea,974,Ardella Bins,474
Guyana,133,Kaley Hagenes,475
Azerbaijan,550,Ms. Brain Lang,476
Morocco,571,Boris Kuvalis I,477
Côte d’Ivoire,880,Gabriel Feil,478
Nauru,3,Devante Mraz,479
Gambia,312,Raphaelle Swift,480
Bulgaria,116,Ms. Dayton Orn,481
Saint Kitts and Nevis,268,Delphia Fahey,482
Burkina Faso,904,Jermey Frami,483
Réunion,556,Eva Stracke,484
Jordan,164,Arnoldo Pagac,485
Ukraine,767,Brandi Cremin,486
Oman,949,Osborne Oberbrunner,487
Barbados,753,Edyth Harris,488
Guadeloupe,55,Josh Witting,489
Montserrat,70,Miss Marilyne Kunde,490
Andorra,435,Pamela Gusikowski PhD,491
Aruba,326,Joseph Lemke Jr.,492
Somalia,482,Margarita Bechtelar,493
Congo - Kinshasa,812,Mrs. Leda Runte,494
Metropolitan France,234,Grace Torp,495
Niger,856,Mr. Jerrod Bosco,496
Guadeloupe,427,Hulda Dickens,497
Jordan,692,Oswaldo Botsford,498
Svalbard and Jan Mayen,712,Ms. Rubye Nolan,499
Gibraltar,909,Savanna Stanton,500
Guernsey,216,Miss Maxie Bechtelar,501
Grenada,79,Vergie Fisher,502
Equatorial Guinea,241,Vilma Russel,503
Tonga,758,Keyshawn Towne III,504
Canada,576,Jordyn Dietrich,505
Peru,280,Ms. Clay Kulas,506
Saint Pierre and Miquelon,409,Brad Waters,507
Angola,567,Logan Bahringer,508
Argentina,186,Jerel Pacocha,509
El Salvador,524,Chris Wilderman,510
Dominica,760,Gerardo Pagac,511
Jamaica,545,Elwyn Skiles,512
Bangladesh,371,Ayana Borer,513
British Virgin Islands,762,Grady Okuneva I,514
Luxembourg,115,Julius Hamill PhD,515
Norfolk Island,562,Jefferey Koepp,516
Hong Kong SAR China,994,Camilla Beier V,517
East Germany,641,Ryann Hammes,518
Saint Martin,801,Johnnie Anderson Sr.,519
United Arab Emirates,444,Reece Kulas,520
Singapore,518,Wilfrid Cronin V,521
Saint Martin,379,Toby O'Kon Sr.,522
Brunei,951,Burley Weissnat DDS,523
North Korea,582,Eugenia Bruen,524
Belgium,484,Bud Nitzsche,525
Tanzania,452,Murray Trantow,526
Cyprus,295,Imani Kertzmann,527
Kyrgyzstan,232,Alessandra Streich,528
Tajikistan,317,Emmett Jacobs,529
Svalbard and Jan Mayen,709,Kayli Gislason,530
Mozambique,919,Adolph Crist,531
Canton and Enderbury Islands,601,Dejon Cartwright,532
Chad,656,Miss Alphonso Streich,533
Moldova,924,Tatyana Roob Sr.,534
Bosnia and Herzegovina,722,Olin McKenzie DDS,535
Kyrgyzstan,732,Dr. Rod Purdy,536
Sierra Leone,245,Marcia Schaefer II,537
Austria,225,Vicky Kling,538
Greenland,394,Elena Watsica,539
Timor-Leste,142,Garland Bartoletti,540
Western Sahara,108,Alyson Beahan,541
Netherlands,72,Aron Mosciski,542
Australia,344,Miss Kelly Kreiger,543
Anguilla,315,Johanna Rempel DVM,544
Botswana,253,Pedro Ritchie II,545
Indonesia,96,Jettie Bernhard,546
Montenegro,819,Francisca Jacobi,547
Yemen,317,Dominique Cremin,548
Ecuador,97,Ms. Constance Sanford,549
New Caledonia,233,Lelia Morar DVM,550
Guatemala,397,Corene Williamson,551
Timor-Leste,837,Kaitlyn Cronin II,552
Liberia,836,Vella Kemmer,553
Brunei,435,Maci Wintheiser,554
Marshall Islands,833,Verla Wuckert,555
Sudan,674,Sidney Walker MD,556
Algeria,59,Davon Schmitt,557
Fiji,459,Coby Schulist,558
Heard Island and McDonald Islands,774,Miss Loyce Aufderhar,559
Poland,71,Lisa Berge,560
Samoa,660,Liza Dibbert,561
Mauritania,233,Mckayla Schuppe,562
Finland,868,Gonzalo Johns,563
Uruguay,823,Ms. Lurline Hegmann,564
Equatorial Guinea,76,Grayce Schamberger,565
Heard Island and McDonald Islands,939,Arvel Treutel DDS,566
Turks and Caicos Islands,502,Mireya Collins,567
Norfolk Island,908,Hilario Anderson,568
Hong Kong SAR China,940,Cristal Wehner DVM,569
Kazakhstan,101,Jamaal Kub,570
Bangladesh,343,Raleigh Murray,571
Singapore,515,Beulah Mante,572
Syria,639,Beth Gutkowski,573
Andorra,319,Earline Hilpert,574
Mauritania,206,Halle Little,575
Saint Lucia,218,Baylee Metz,576
Dominica,262,Mr. Odie Lang,577
Laos,102,Eryn Schamberger,578
Slovakia,486,John Wiza,579
Cocos [Keeling] Islands,990,Justen Reichert MD,580
Mongolia,194,Angela Turcotte,581
Zimbabwe,592,Tressie Miller,582
Heard Island and McDonald Islands,154,Lucile Jacobson,583
Cyprus,100,Darby Schroeder,584
New Caledonia,854,Hassie Renner,585
Azerbaijan,394,Joannie Kling,586
Congo - Brazzaville,621,Myrtle Aufderhar,587
Hungary,386,Gerardo Ledner,588
British Indian Ocean Territory,786,Jean Kub IV,589
Kuwait,475,Greta Cormier,590
Brazil,49,Rosendo Anderson,591
South Korea,41,Kelley Flatley,592
Iran,630,Carlos Dickens,593
Lesotho,75,Finn Kreiger,594
El Salvador,441,Derick Bins,595
Nauru,343,Morton West,596
Canada,999,Alysha Wehner,597
Kiribati,768,Dr. Gloria Langworth,598
Montenegro,200,Aimee Leffler,599
Bosnia and Herzegovina,399,Dejuan Schowalter,600
Samoa,875,Santino Swaniawski,601
Brazil,43,Clifton Muller,602
Saint Helena,811,Curt Welch,603
Solomon Islands,203,Guiseppe Smitham,604
Spain,56,Rick Sauer Sr.,605
Israel,744,Troy Schneider DVM,606
Solomon Islands,806,Sage Balistreri,607
Grenada,635,Jerrold Littel,608
Cameroon,842,Mrs. Jules Anderson,609
El Salvador,998,Myrtie Lebsack,610
Saint Martin,856,Estel Heaney,611
Morocco,863,Jalen Baumbach,612
Nicaragua,761,Hiram Carter,613
Iceland,423,Kirsten Ondricka,614
Jamaica,784,Lennie Cronin,615
Guyana,593,Nelda Brekke,616
Sweden,52,Marquise Pouros,617
Yemen,325,Miss Amiya Kemmer,618
Montserrat,716,Mia Mills,619
Burundi,669,Newell Kessler,620
Guatemala,807,Raymond Wisoky,621
Isle of Man,440,Shanny Pfeffer DVM,622
Yemen,139,Hershel Mertz,623
Argentina,234,Bobbie Kerluke,624
San Marino,185,Mrs. Santa Hauck,625
Latvia,159,Danika Lakin,626
Suriname,123,Orion Dooley,627
Zimbabwe,930,Elwin Tillman,628
Nauru,266,Joesph Jenkins,629
New Zealand,707,Kayli Howe,630
Algeria,36,Zetta Swift DVM,631
Chile,31,Kaylin Beer,632
Israel,963,Friedrich Crona,633
Guatemala,802,Kayden Champlin,634
Guinea-Bissau,809,Mr. Vada Aufderhar,635
French Guiana,786,Carmen Nitzsche,636
Åland Islands,22,Virginie Boehm,637
Georgia,271,Cortney Altenwerth,638
French Polynesia,859,Gisselle Wilderman,639
Mayotte,832,Ryley Rogahn,640
Australia,761,Brenda Herzog MD,641
French Southern and Antarctic Territories,147,Brennan Jones,642
Austria,619,Sidney Koch,643
Micronesia,581,Mr. Annie Steuber,644
Macau SAR China,285,Dr. Teresa Flatley,645
Åland Islands,363,Josue Glover,646
Canada,591,Gerardo Koch DVM,647
Azerbaijan,406,Waino Bartell,648
Guyana,732,Mr. Eloise Stokes,649
Belarus,472,Linwood Ebert,650
Turkey,137,Dr. Carissa Boyle,651
Costa Rica,916,Ms. Chad Baumbach,652
Madagascar,743,Elenora Steuber,653
Congo - Kinshasa,882,Natalia Leffler,654
United Arab Emirates,360,Gennaro Nikolaus,655
Brunei,617,Kamren Rutherford,656
Togo,458,Mariah Turner,657
Haiti,126,Pablo Kertzmann,658
Ireland,91,Antoinette Blick,659
United Arab Emirates,174,Johnnie Dicki,660
Tanzania,904,Braden O'Hara,661
Saint Pierre and Miquelon,745,Milton Wuckert,662
Tuvalu,353,Faye Kris,663
Bahamas,218,Elizabeth Greenholt,664
Bulgaria,900,Jeromy Murphy,665
Somalia,229,Karina Sauer DVM,666
Guam,602,Lorenzo Cummerata,667
Saint Helena,545,Domenic Mayer,668
Hong Kong SAR China,801,Kayli Schmidt II,669
Nicaragua,567,Dr. Carroll McKenzie,670
Argentina,438,Kathryne Dach,671
Ecuador,182,Moriah Howe,672
Niger,899,Weston Ernser,673
Russia,372,Price Marquardt,674
Northern Mariana Islands,881,Vallie Gerhold DDS,675
Åland Islands,30,Alfonso Leffler,676
Dominican Republic,170,Karson Beier,677
Gabon,623,Georgiana Haag,678
Somalia,496,Marilyne Larson,679
Heard Island and McDonald Islands,450,Dr. Destany Abbott,680
North Vietnam,617,Else Monahan,681
Denmark,264,Barry Dooley,682
